Футболист;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Александр Сильянов;Локомотив Москва;206;34;ЗЛ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;6.00;50 %;1.00;0 %;2.00;0 %;-;-;-;-;-;-;-;-;2.00;0 %;-;-;-;-;-;-;3.00;33 %;3.00;33 %;-;-;1.00;100 %;-;-;-;-;2.00;0 %;-;-;1;-;-;1.00;9.00;4.00;44 %;-;-;-;-;-;-;-;-;0.70;0.41;0.29;-;-;3.00;-;-;-;-;-;-;-;1.00;1.00;-;1.00;-;-;-
Бернард Бериша;ФК Ахмат;218;33;П Л;-;-;-;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;9.00;67 %;1.00;0 %;1.00;0 %;3.00;67 %;1.00;100 %;-;-;1.00;100 %;1.00;0 %;4.00;-;-;-;-;-;5.00;80 %;2.00;100 %;3.00;67 %;-;-;1.00;100 %;-;-;1.00;100 %;-;2.00;1;-;-;1.00;16.00;12.00;75 %;-;-;-;-;-;-;-;-;-;1.20;-1.20;-;-;6.00;-;-;2.00;1.00;-;1.00;-;4.00;2.00;2.00;-;1.00;-;1.00
Антон Швец;ФК Ахмат;220;33;ЗП ПЦ;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;10.00;70 %;-;-;-;-;4.00;50 %;1.00;0 %;-;-;2.00;50 %;-;-;2.00;-;-;2.00;2.00;-;6.00;67 %;5.00;60 %;1.00;100 %;5.00;60 %;1.00;100 %;-;-;-;-;4.00;4.00;1;-;-;1.00;24.00;19.00;79 %;-;-;-;-;-;-;-;-;-;1.20;-1.20;0.12;0.12;7.00;-;-;2.00;-;-;1.00;-;4.00;3.00;1.00;3.00;1.00;-;-
Роман Тугарев;Ростов;166;33;АП Л;-;-;-;-;-;-;2.00;1.00;-;-;1.00;1.00;-;-;-;-;5.00;60 %;-;-;1.00;0 %;-;-;1.00;0 %;1.00;0 %;-;-;-;-;2.00;-;1.00;-;-;1.00;10.00;20 %;2.00;0 %;8.00;25 %;3.00;0 %;3.00;67 %;2.00;50 %;1.00;0 %;-;-;1;1.00;-;-;17.00;6.00;35 %;-;-;-;-;-;-;-;-;0.04;0.53;-0.49;-;-;3.00;-;-;-;-;-;-;-;2.00;-;2.00;-;2.00;1.00;-
Егор Голенков;Ростов;175;32;Ф Ц;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;-;10.00;70 %;1.00;100 %;-;-;1.00;0 %;-;-;-;-;-;-;2.00;50 %;4.00;1.00;1.00;-;-;-;9.00;56 %;2.00;100 %;7.00;43 %;7.00;43 %;-;-;-;-;1.00;100 %;-;-;1;-;-;1.00;20.00;12.00;60 %;-;-;-;-;0.25;-;-;-;0.77;0.56;0.21;-;-;7.00;1.00;-;-;-;-;-;1.00;5.00;2.00;3.00;3.00;-;-;1.00
Иван Игнатьев;Сочи;183;31;АП Ц;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;40 %;-;-;-;-;1.00;0 %;-;-;-;-;1.00;0 %;-;-;5.00;-;1.00;-;-;-;4.00;25 %;2.00;50 %;2.00;0 %;-;-;2.00;0 %;1.00;0 %;1.00;0 %;2.00;1.00;1;-;-;1.00;13.00;6.00;46 %;-;-;-;-;-;-;-;-;0.02;0.64;-0.62;-;-;2.00;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-
Данил Круговой;Зенит;249;27;ЗП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1.00;0.02;16.00;94 %;-;-;1.00;100 %;1.00;100 %;-;-;-;-;1.00;100 %;2.00;100 %;2.00;-;-;1.00;-;1.00;1.00;0 %;-;-;1.00;0 %;-;-;1.00;0 %;1.00;0 %;-;-;1.00;-;1;-;-;1.00;20.00;18.00;90 %;100 %;-;-;-;0.24;0.02;-;0.00;0.27;-;0.27;-;-;15.00;-;1.00;1.00;-;-;1.00;2.00;-;-;-;-;-;-;-
Иван Сергеев;Зенит;188;27;Ф ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;50 %;1.00;0 %;-;-;-;-;-;-;-;-;-;-;1.00;0 %;2.00;-;-;-;-;-;2.00;0 %;-;-;2.00;0 %;-;-;-;-;-;-;-;-;1.00;-;1;-;-;1.00;5.00;2.00;40 %;-;-;-;-;-;-;-;-;0.27;-;0.27;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Лука Гагнидзе;Динамо Москва;194;26;П ЛЦ;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;-;-;-;12.00;83 %;-;-;-;-;2.00;50 %;-;-;-;-;-;-;-;-;-;-;-;1.00;-;-;3.00;33 %;3.00;33 %;-;-;1.00;0 %;-;-;-;-;2.00;50 %;4.00;2.00;1;-;-;1.00;22.00;18.00;82 %;-;-;-;-;-;-;-;-;0.56;0.77;-0.21;-;-;10.00;-;-;1.00;-;-;-;-;1.00;1.00;-;-;-;-;1.00
Вячеслав Грулёв;Динамо Москва;171;26;Ф Ц;-;-;-;-;-;-;-;-;1.00;1.00;-;-;-;3.00;-;0.17;5.00;60 %;-;-;-;-;2.00;0 %;-;-;-;-;1.00;0 %;1.00;100 %;5.00;1.00;-;-;-;2.00;7.00;29 %;-;-;7.00;29 %;4.00;0 %;2.00;100 %;2.00;100 %;-;-;1.00;2.00;1;-;-;1.00;21.00;10.00;48 %;0 %;2.00;1.00;-;0.39;0.06;-;0.00;0.56;0.77;-0.21;0.22;0.22;3.00;-;-;-;-;-;-;1.00;2.00;-;2.00;-;2.00;2.00;-
Матвей Ивахнов;Факел Воронеж;209;26;АП ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.21;14.00;71 %;-;-;-;-;2.00;0 %;-;-;-;-;-;-;-;-;6.00;-;-;1.00;1.00;-;6.00;67 %;2.00;100 %;4.00;50 %;-;-;1.00;100 %;1.00;100 %;1.00;100 %;1.00;2.00;1;-;-;1.00;24.00;17.00;71 %;0 %;1.00;-;-;-;0.21;-;0.00;0.23;0.14;0.09;-;-;10.00;-;-;-;-;-;-;-;4.00;2.00;2.00;-;1.00;1.00;1.00
Срджан Бабич;Спартак Москва;222;25;З ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.05;16.00;100 %;-;-;-;-;4.00;100 %;3.00;100 %;-;-;2.00;100 %;-;-;-;-;-;1.00;-;2.00;4.00;75 %;3.00;67 %;1.00;100 %;4.00;75 %;-;-;-;-;-;-;2.00;1.00;1;-;-;1.00;26.00;24.00;92 %;0 %;1.00;-;-;-;0.05;-;0.00;0.32;-;0.32;-;-;16.00;-;-;4.00;3.00;-;2.00;-;3.00;2.00;1.00;3.00;-;-;-
Виктор Алехандро Давила Савала;ЦСКА Москва;217;24;АП ЛЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;9.00;67 %;-;-;1.00;0 %;1.00;100 %;1.00;0 %;1.00;0 %;2.00;50 %;2.00;100 %;1.00;-;-;-;-;-;1.00;100 %;-;-;1.00;100 %;1.00;100 %;-;-;-;-;-;-;-;1.00;1;-;-;1.00;11.00;8.00;73 %;-;-;-;-;-;-;-;-;-;0.27;-0.27;-;-;6.00;-;-;1.00;-;-;1.00;2.00;1.00;-;1.00;1.00;-;-;-
Аслан Дудиев;Балтика;214;24;ЗП П;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;9.00;89 %;-;-;1.00;100 %;3.00;67 %;-;-;-;-;2.00;50 %;2.00;100 %;2.00;1.00;-;-;-;1.00;4.00;50 %;1.00;0 %;3.00;67 %;1.00;100 %;1.00;100 %;-;-;-;-;-;2.00;1;-;-;1.00;16.00;13.00;81 %;-;-;-;-;-;-;-;-;0.18;0.28;-0.10;-;-;8.00;-;1.00;2.00;-;-;1.00;2.00;2.00;-;2.00;1.00;1.00;-;-
Владислав Камилов;ФК Ахмат;181;24;Ф ПЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;6.00;50 %;-;-;-;-;2.00;0 %;-;-;-;-;2.00;0 %;-;-;5.00;-;-;-;-;1.00;12.00;25 %;5.00;20 %;7.00;29 %;7.00;29 %;1.00;0 %;-;-;1.00;100 %;-;1.00;1;-;-;1.00;20.00;8.00;40 %;-;-;-;-;-;-;-;-;-;1.18;-1.18;0.09;0.09;3.00;-;-;-;-;-;-;-;3.00;1.00;2.00;2.00;-;-;1.00
Кирилл Капленко;Оренбург;208;24;П ЛЦ;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;13.00;77 %;-;-;-;-;4.00;25 %;2.00;50 %;-;-;2.00;50 %;2.00;0 %;2.00;-;-;1.00;-;-;2.00;50 %;2.00;50 %;-;-;1.00;0 %;-;-;-;-;1.00;100 %;3.00;1.00;1;-;-;1.00;19.00;15.00;79 %;-;-;-;-;-;-;-;-;0.61;0.02;0.59;0.02;0.02;10.00;-;-;1.00;1.00;-;1.00;-;1.00;1.00;-;-;-;-;1.00
Максим Мухин;ЦСКА Москва;217;24;АП ПЦ;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;-;2.00;50 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;-;-;-;-;-;4.00;0 %;1.00;0 %;3.00;0 %;-;-;1.00;0 %;1.00;0 %;1.00;0 %;-;-;1;-;-;1.00;6.00;1.00;17 %;-;-;-;-;-;-;-;-;-;0.27;-0.27;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Степан Оганесян;Оренбург;242;24;АП Л;-;-;-;-;-;1.00;-;1.00;-;-;-;-;-;1.00;-;0.02;7.00;100 %;-;-;-;-;2.00;100 %;-;-;-;-;-;-;2.00;100 %;1.00;-;-;-;-;4.00;7.00;43 %;-;-;7.00;43 %;1.00;0 %;3.00;67 %;3.00;67 %;-;-;-;-;1;-;-;1.00;19.00;14.00;74 %;0 %;-;1.00;-;0.42;0.02;-;0.00;0.61;0.02;0.59;-;-;7.00;-;-;2.00;-;-;-;2.00;3.00;-;3.00;-;2.00;2.00;-
Мингиян Бевеев;Урал Екатеринбург;232;23;ЗЛ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;18.00;83 %;-;-;-;-;8.00;75 %;3.00;67 %;-;-;6.00;83 %;3.00;67 %;3.00;-;-;5.00;-;-;8.00;63 %;7.00;71 %;1.00;0 %;2.00;0 %;1.00;0 %;1.00;0 %;-;-;1.00;4.00;1;-;-;1.00;31.00;25.00;81 %;-;-;-;-;0.07;-;-;-;1.18;-;1.18;-;-;15.00;-;-;6.00;2.00;-;5.00;2.00;5.00;5.00;-;-;-;-;-
Илья Ишков;Урал Екатеринбург;203;23;П П;-;-;1.00;-;0 %;-;-;1.00;-;-;-;-;-;1.00;1.00;0.36;8.00;63 %;-;-;-;-;1.00;100 %;2.00;0 %;-;-;1.00;0 %;4.00;50 %;2.00;-;-;-;-;-;7.00;43 %;-;-;7.00;43 %;1.00;100 %;3.00;33 %;3.00;33 %;-;-;-;2.00;1;-;-;1.00;18.00;11.00;61 %;100 %;-;-;-;0.31;0.36;-;0.00;1.18;-;1.18;-;-;5.00;-;-;1.00;-;-;-;2.00;3.00;-;3.00;1.00;1.00;1.00;-
Марио Митай;Локомотив Москва;223;23;АП Л;-;-;-;-;-;-;1.00;2.00;-;-;-;-;-;-;-;-;5.00;60 %;-;-;-;-;-;-;-;-;-;-;-;-;1.00;0 %;1.00;1.00;-;3.00;2.00;1.00;8.00;63 %;4.00;50 %;4.00;75 %;2.00;0 %;2.00;100 %;-;-;1.00;0 %;2.00;1.00;1;-;-;1.00;17.00;12.00;71 %;-;-;-;-;-;-;-;-;0.28;0.18;0.10;-;-;3.00;-;-;-;-;-;-;-;5.00;2.00;3.00;-;2.00;-;-
Анхело Хосе Энрикес Итурра;Балтика;172;21;Ф ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.00;33 %;1.00;0 %;-;-;-;-;-;-;-;-;-;-;1.00;100 %;1.00;-;-;-;-;-;2.00;50 %;-;-;2.00;50 %;1.00;100 %;1.00;0 %;1.00;0 %;-;-;-;2.00;1;-;-;1.00;10.00;5.00;50 %;-;-;-;-;-;-;-;-;0.18;0.28;-0.10;-;-;2.00;-;-;-;-;-;-;1.00;1.00;-;1.00;1.00;-;-;-
Никита Бурмистров;Сочи;188;19;АП П;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;0.02;5.00;60 %;-;-;-;-;2.00;50 %;-;-;-;-;1.00;0 %;-;-;2.00;1.00;-;-;-;1.00;4.00;50 %;1.00;100 %;3.00;33 %;1.00;100 %;2.00;50 %;1.00;100 %;-;-;-;1.00;1;-;-;1.00;12.00;7.00;58 %;0 %;1.00;-;-;-;0.02;-;0.00;0.02;0.46;-0.44;-;-;3.00;-;-;1.00;-;-;-;-;2.00;1.00;1.00;1.00;1.00;1.00;-
Олег Иванов;Рубин Казань;185;19;ЗП ПЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;11.00;82 %;-;-;-;-;2.00;50 %;1.00;100 %;-;-;2.00;50 %;-;-;-;-;-;1.00;1.00;-;6.00;50 %;4.00;25 %;2.00;100 %;2.00;50 %;1.00;100 %;1.00;100 %;-;-;1.00;1.00;1;-;-;1.00;19.00;14.00;74 %;-;-;-;-;-;-;-;-;0.15;-;0.15;-;-;9.00;-;-;1.00;1.00;-;1.00;-;3.00;1.00;2.00;1.00;1.00;1.00;-
Игорь Коновалов;Рубин Казань;183;19;П Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.00;80 %;-;-;-;-;1.00;100 %;-;-;-;-;-;-;1.00;0 %;1.00;-;1.00;-;-;-;1.00;0 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;-;1.00;1;-;-;1.00;8.00;5.00;63 %;-;-;-;-;-;-;-;-;0.15;-;0.15;-;-;4.00;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-
Писарский;Крылья Советов;170;19;Ф Ц;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;7.00;57 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;1.00;-;1.00;-;-;4.00;0 %;2.00;0 %;2.00;0 %;2.00;0 %;-;-;-;-;-;-;-;3.00;1;-;-;1.00;14.00;7.00;50 %;-;-;-;-;-;-;-;-;0.08;0.21;-0.13;-;-;4.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Георгий Зотов;Крылья Советов;216;19;АП ПЦ;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;5.00;80 %;-;-;-;-;2.00;50 %;1.00;0 %;1.00;0 %;1.00;0 %;1.00;100 %;5.00;1.00;1.00;2.00;-;1.00;11.00;45 %;5.00;60 %;6.00;33 %;2.00;0 %;3.00;67 %;3.00;67 %;3.00;67 %;2.00;1.00;1;-;-;1.00;21.00;13.00;62 %;-;-;-;-;-;-;-;-;0.08;0.21;-0.13;-;-;4.00;-;-;1.00;-;-;-;1.00;5.00;3.00;2.00;-;2.00;2.00;2.00
Кади Иури Борхес Малиновский;ФК Краснодар;217;18;АП П;-;-;-;-;-;-;1.00;1.00;-;-;1.00;-;-;-;-;-;5.00;80 %;-;-;-;-;-;-;2.00;50 %;1.00;100 %;-;-;1.00;0 %;1.00;-;-;1.00;1.00;-;5.00;40 %;1.00;0 %;4.00;50 %;1.00;0 %;3.00;67 %;2.00;50 %;1.00;0 %;-;2.00;1;-;-;1.00;12.00;8.00;67 %;-;-;-;-;-;-;-;-;-;0.17;-0.17;-;-;4.00;-;-;-;1.00;1.00;-;-;2.00;-;2.00;-;2.00;1.00;-
Александр Кокшаров;ФК Краснодар;226;18;Ф Ц;-;-;-;-;-;1.00;-;1.00;-;-;-;-;-;-;-;-;2.00;50 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;-;-;3.00;-;-;-;-;1.00;9.00;44 %;1.00;0 %;8.00;50 %;5.00;40 %;1.00;100 %;1.00;100 %;1.00;0 %;1.00;-;1;-;-;1.00;13.00;7.00;54 %;-;-;-;-;-;-;-;-;-;0.17;-0.17;-;-;1.00;-;-;-;-;-;-;-;4.00;-;4.00;2.00;1.00;1.00;-
Иван Комаров;Ростов;218;18;ЗЛ;-;-;1.00;1.00;100 %;1.00;-;1.00;-;-;-;-;-;1.00;1.00;0.22;8.00;63 %;1.00;0 %;3.00;33 %;1.00;0 %;1.00;0 %;-;-;-;-;2.00;0 %;2.00;-;-;1.00;-;1.00;2.00;100 %;2.00;100 %;-;-;-;-;-;-;-;-;1.00;100 %;-;3.00;1;-;-;1.00;14.00;11.00;79 %;100 %;-;-;-;0.15;0.22;-;0.00;0.75;0.11;0.64;-;-;5.00;-;1.00;-;-;-;-;-;2.00;2.00;-;-;-;-;1.00
Жуниор Хосе Коррейа;Пари Нижний Новгород;182;16;Ф Ц;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;3.00;33 %;-;-;-;-;1.00;100 %;-;-;-;-;1.00;100 %;-;-;6.00;2.00;-;-;-;-;11.00;45 %;2.00;0 %;9.00;56 %;2.00;50 %;2.00;0 %;2.00;0 %;1.00;0 %;-;-;1;-;-;1.00;14.00;6.00;43 %;-;-;-;-;-;-;-;-;-;0.15;-0.15;-;-;1.00;-;-;1.00;-;-;1.00;-;5.00;-;5.00;1.00;-;-;-
Александр Ерохин;Зенит;192;16;Ф ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;33 %;-;-;-;-;1.00;0 %;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;1.00;0 %;-;-;1.00;0 %;1.00;0 %;-;-;-;-;-;-;-;-;1;-;-;1.00;4.00;1.00;25 %;-;-;-;-;-;-;-;-;0.27;-;0.27;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Даниил Лесовой;Динамо Москва;188;16;АП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;0 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;-;-;-;-;-;2.00;50 %;1.00;100 %;1.00;0 %;-;-;-;-;-;-;1.00;100 %;-;1.00;1;-;-;1.00;5.00;2.00;40 %;-;-;-;-;-;-;-;-;0.11;0.75;-0.64;-;-;-;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;1.00
Андрей Мостовой;Зенит;229;16;ЗП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9.00;89 %;-;-;-;-;-;-;-;-;-;-;-;-;1.00;0 %;-;-;-;-;-;1.00;2.00;50 %;-;-;2.00;50 %;1.00;0 %;1.00;100 %;1.00;100 %;-;-;-;1.00;1;-;-;1.00;13.00;11.00;85 %;-;-;-;-;0.06;-;-;-;0.27;-;0.27;-;-;8.00;-;-;-;-;-;-;-;1.00;-;1.00;-;1.00;1.00;-
Иброгимхалил Юлдошев;Пари Нижний Новгород;201;16;ЗП Л;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;4.00;50 %;-;-;-;-;-;-;-;-;-;-;1.00;100 %;1.00;0 %;1.00;-;-;1.00;-;-;3.00;0 %;2.00;0 %;1.00;0 %;2.00;0 %;-;-;-;-;-;-;1.00;-;1;-;-;1.00;8.00;3.00;38 %;-;-;-;-;-;-;-;-;-;0.15;-0.15;-;-;2.00;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-
Джастин Рауль Куэро Паласио;Оренбург;224;15;Ф Ц;1.00;-;2.00;1.00;50 %;1.00;-;-;-;-;-;-;-;2.00;2.00;1.10;3.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;-;-;1.00;1.00;-;6.00;17 %;1.00;100 %;5.00;0 %;1.00;0 %;-;-;-;-;1.00;100 %;-;-;1;-;-;1.00;11.00;6.00;55 %;100 %;-;-;-;0.02;0.55;1.10;0.91;0.44;0.02;0.42;-;-;3.00;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;1.00
Руслан Магаль;Факел Воронеж;182;15;ЗП Л;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9.00;89 %;-;-;1.00;0 %;2.00;100 %;-;-;-;-;1.00;100 %;1.00;0 %;2.00;-;-;1.00;-;2.00;1.00;0 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;2.00;-;1;-;-;1.00;14.00;12.00;86 %;-;-;-;-;-;-;-;-;0.21;0.08;0.13;-;-;8.00;-;-;2.00;-;-;1.00;-;-;-;-;-;-;-;-
Константин Марадишвили;Локомотив Москва;219;15;АП Ц;-;-;1.00;-;0 %;-;-;1.00;-;-;-;-;-;1.00;1.00;0.27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.00;-;-;5.00;60 %;2.00;100 %;3.00;33 %;-;-;1.00;0 %;-;-;2.00;100 %;2.00;-;1;-;-;1.00;8.00;6.00;75 %;100 %;-;-;-;-;0.27;-;0.00;0.28;0.18;0.10;0.18;0.18;-;-;-;-;-;-;-;-;3.00;2.00;1.00;-;-;-;2.00
Максим Сидоров;Оренбург;204;15;ЗЛ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;6.00;67 %;-;-;1.00;0 %;2.00;100 %;-;-;-;-;-;-;1.00;0 %;2.00;-;-;1.00;-;-;3.00;67 %;3.00;67 %;-;-;3.00;67 %;-;-;-;-;-;-;-;1.00;1;1.00;1.00;-;10.00;7.00;70 %;-;-;-;-;-;-;-;-;0.02;-;0.02;-;-;4.00;-;-;2.00;-;-;-;-;2.00;2.00;-;2.00;-;-;-
Заим Диванович;ФК Ахмат;-;14;Ф ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.00;50 %;-;-;-;-;1.00;0 %;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;5.00;40 %;1.00;0 %;4.00;50 %;-;-;2.00;100 %;-;-;-;-;-;-;1;-;-;1.00;7.00;3.00;43 %;-;-;-;-;-;-;-;-;-;0.50;-0.50;-;-;1.00;-;-;-;-;-;-;-;2.00;-;2.00;-;2.00;-;-
Артём Мамин;Урал Екатеринбург;-;14;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.00;86 %;-;-;-;-;4.00;75 %;1.00;100 %;-;-;2.00;100 %;-;-;-;-;-;-;-;-;1.00;0 %;1.00;0 %;-;-;-;-;-;-;-;-;1.00;0 %;-;1.00;1;-;-;1.00;9.00;7.00;78 %;-;-;-;-;-;-;-;-;0.50;-;0.50;-;-;6.00;-;-;3.00;1.00;-;2.00;-;-;-;-;-;-;-;-
Иван Остоич;Балтика;186;14;З ПЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;7.00;43 %;-;-;1.00;0 %;4.00;25 %;2.00;50 %;1.00;100 %;2.00;50 %;1.00;0 %;-;-;-;1.00;-;-;4.00;75 %;4.00;75 %;-;-;2.00;100 %;-;-;-;-;2.00;50 %;1.00;2.00;1;-;-;1.00;14.00;9.00;64 %;-;-;-;-;-;-;-;-;0.18;0.28;-0.10;-;-;3.00;-;-;1.00;1.00;1.00;1.00;-;3.00;3.00;-;2.00;-;-;1.00
Илья Самошников;Локомотив Москва;219;14;З П;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;5.00;100 %;-;-;-;-;-;-;-;-;-;-;-;-;1.00;100 %;-;-;-;1.00;1.00;-;2.00;100 %;1.00;100 %;1.00;100 %;-;-;1.00;100 %;1.00;100 %;1.00;100 %;5.00;1.00;1;-;-;1.00;13.00;13.00;100 %;-;-;-;-;-;-;-;-;0.28;0.18;0.10;-;-;5.00;-;-;-;-;-;-;1.00;2.00;1.00;1.00;-;1.00;1.00;1.00
Павел Мелешин;Спартак Москва;-;12;АП ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;0 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;1.00;1.00;100 %;1.00;100 %;-;-;-;-;-;-;-;-;1.00;100 %;-;-;1;-;-;1.00;3.00;2.00;67 %;-;-;-;-;-;-;-;-;0.17;-;0.17;-;-;-;-;-;-;-;-;-;-;1.00;1.00;-;-;-;-;1.00
Матео Барач;Крылья Советов;-;11;З ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.00;75 %;1.00;0 %;-;-;2.00;50 %;2.00;100 %;-;-;1.00;0 %;-;-;1.00;-;-;2.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1.00;1;-;-;1.00;6.00;5.00;83 %;-;-;-;-;-;-;-;-;0.08;-;0.08;-;-;3.00;-;-;1.00;2.00;-;-;-;-;-;-;-;-;-;-
Егор Карпицкий;Крылья Советов;-;11;АП ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1.00;0.08;4.00;50 %;-;-;-;-;3.00;33 %;-;-;-;-;-;-;-;-;3.00;2.00;-;-;-;1.00;1.00;0 %;-;-;1.00;0 %;-;-;-;-;-;-;-;-;-;1.00;1;-;-;1.00;8.00;5.00;63 %;100 %;-;-;-;-;0.08;-;0.00;0.08;-;0.08;-;-;2.00;-;-;1.00;-;-;-;-;-;-;-;-;-;-;-
Дмитрий Тихий;Пари Нижний Новгород;-;9;З ПЦ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;100 %;-;-;-;-;-;-;-;-;-;-;1.00;100 %;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.00;-;1;-;-;1.00;2.00;2.00;100 %;-;-;-;-;-;-;-;-;-;0.05;-0.05;-;-;1.00;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-
