Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Артём Мамин;Урал Екатеринбург;203;90;З ПЦ;–;–;0.13;0.13;100 %;–;0.51;0.13;0.51;1.16;0.26;–;–;–;–;–;50.71;89 %;0.13;0 %;0.13;0 %;11.55;72 %;1.93;60 %;0.26;50 %;6.42;68 %;0.51;25 %;2.44;0.9;–;7.32;1.54;0.77;10.53;60 %;9.37;64 %;1.16;22 %;3.85;73 %;0.13;100 %;–;–;3.72;59 %;5.26;4.88;9;0.9;–;0.26;72.15;62.27;86 %;–;–;–;–;–;–;–;–;0.98;1.17;-0.2;0.12;0.11;45.06;–;–;8.35;1.16;0.13;4.37;0.13;6.29;6.3;0.26;2.82;0.13;–;2.18
Марк Рене Мампасси;Локомотив Москва;187;90;З ПЦ;–;–;0;–;–;–;1.16;0.93;0.7;2.32;0.23;0.23;–;–;–;–;44.07;84 %;0.23;0 %;–;–;9.97;74 %;1.16;60 %;0.23;100 %;5.57;79 %;0.23;100 %;2.78;1.39;0.23;6.96;1.86;2.9;18.09;71 %;12.53;69 %;5.57;75 %;4.64;50 %;1.62;71 %;–;–;3.71;63 %;6.3;7.65;7;0.93;–;0.7;78.17;65.64;84 %;–;–;–;–;–;–;–;–;0.85;1.83;-0.97;0.24;0.15;37.11;–;–;7.42;0.7;0.23;4.41;0.23;12.76;8.58;4.18;2.32;1.16;–;2.32
Ираклий Манелов;ФК Краснодар;177;90;Ф Ц;–;–;0.25;–;0 %;0.25;1.77;1.1;–;–;0.76;–;1.1;2.78;0.76;0.25;13.65;78 %;0.51;50 %;–;–;2.2;63 %;–;–;–;–;1.1;75 %;0.51;50 %;10.11;1.1;1.77;0.76;0.76;0.76;23.26;28 %;5.6;30 %;18.2;28 %;5.56;14 %;5.31;48 %;2.28;56 %;3.29;38 %;0.76;3.3;9;0.76;0.76;1.52;46.01;22.5;49 %;27 %;0.76;1.26;–;0.04;0.09;–;0;1.3;1.53;-0.5;0.01;0.02;10.62;0.25;–;1.26;–;–;0.76;0.25;6.57;1.52;5.6;0.76;2.53;1.26;1.26
Брайан Эзекуэль Мансилья;Оренбург;224;90;АП Л;0.23;0.34;1.66;0.29;17 %;1.77;1.89;1.15;–;0.11;0.34;0.06;0.69;3.38;1.55;0.39;26.51;72 %;2.6;58 %;2.92;31 %;3.95;67 %;0.97;53 %;0.4;43 %;2.35;63 %;3.15;56 %;12.31;1.6;1.66;2.4;0.92;3.61;24.05;40 %;6.58;44 %;17.46;39 %;4.24;28 %;5.5;53 %;2.81;47 %;3.15;53 %;3.84;3.95;22;0.97;0.74;0.29;66.87;41.51;62 %;46 %;1.2;0.63;–;0.4;0.12;1.72;0.58;1.75;1.45;0.3;–;–;19.01;1.2;0.92;2.63;0.52;0.17;1.49;1.77;9.68;2.92;6.76;1.2;2.92;1.32;1.66
Густаво Мантуан;Зенит;242;90;АП Л;0.85;0.57;1.99;0.85;43 %;1.42;0.28;1.99;0.14;0.14;0.28;–;0.57;4.27;1.71;0.51;37.82;88 %;1.28;67 %;1.99;36 %;3.41;71 %;0.85;67 %;–;–;2.42;65 %;1.71;58 %;7.11;1.85;0.71;2.13;1.28;4.41;16.07;48 %;4.41;32 %;11.66;54 %;1.85;23 %;6.11;65 %;3.7;54 %;2.42;41 %;1.42;3.98;22;0.57;0.43;2.56;68.53;52.32;76 %;40 %;1.56;0.85;0.14;0.47;0.12;0.6;1.66;2.34;0.49;1.85;–;–;33.27;0.85;0.71;2.42;0.57;–;1.56;1;7.68;1.42;6.26;0.43;3.98;1.99;1
Константин Марадишвили;Локомотив Москва;198;90;З П;0.24;0.12;0.83;0.24;29 %;0.71;1.6;1.3;0.24;0.83;0.35;–;0.12;1.77;0.83;0.2;40.92;72 %;0.71;67 %;1.42;42 %;10.53;62 %;1.89;50 %;0.24;0 %;4.38;41 %;3.9;45 %;10.29;1.42;1.6;2.48;0.71;1.66;19.4;39 %;8.28;39 %;11.12;39 %;3.78;28 %;4.38;51 %;2.25;58 %;4.26;42 %;3.78;5.91;21;0.59;0.59;1.89;74.51;49.32;66 %;47 %;0.59;0.35;–;0.12;0.11;0.84;1.19;0.8;1.64;-0.83;0.02;0.02;29.57;0.47;0.59;6.5;0.95;–;1.77;1.77;7.57;3.19;4.38;1.6;2.25;1.3;1.77
Тимофей Маргасов;Сочи;213;90;ЗП П;–;0.04;0.27;0.04;17 %;0.36;1.16;0.58;0.31;0.89;0.09;–;0.18;0.71;0.13;0.06;48.01;81 %;0.67;40 %;2.27;22 %;9.17;62 %;0.98;59 %;0.13;33 %;4.5;68 %;3.56;46 %;5.92;1.16;0.36;3.79;0.76;1.11;13.85;50 %;8.2;53 %;5.83;46 %;5.48;56 %;0.85;47 %;0.22;40 %;3.7;45 %;4.81;5.57;26;0.94;0.22;0.22;74.41;57.45;77 %;19 %;0.27;0.22;0.09;0.14;0.09;–;0;1.29;1.43;-0.15;0.07;0.1;38.92;0.27;0.49;5.7;0.58;0.04;3.7;1.65;6.9;4.23;2.67;3.7;0.4;0.09;1.38
Матео Марьянов Стаматов;Оренбург;212;90;ЗЛ;–;–;0.17;–;0 %;0.42;0.5;0.33;0.17;1;0.33;–;0.08;0.42;0.17;0.03;36.55;78 %;0.75;44 %;1.67;35 %;5.25;49 %;1.17;14 %;0.17;50 %;3;53 %;2.5;53 %;6.33;1.83;0.5;4.66;0.67;3.33;14.4;54 %;6.91;48 %;7.49;59 %;2.33;57 %;4.91;63 %;2.25;56 %;3.16;50 %;4.66;5.25;15;1;0.67;0.25;65.11;49.54;76 %;40 %;0.17;0.08;–;0.16;0.08;–;0;1.62;1.48;0.14;0.11;0.13;28.39;0.33;0.58;2.58;0.17;0.08;1.58;1.33;7.74;3.33;4.41;1.33;3.8;1.25;1.58
Николас Марычал;Динамо Москва;212;90;З ЛЦ;–;–;0.17;–;0 %;0.17;0.43;0.34;0.94;1.8;0.17;–;–;0.26;0.09;0.03;42;85 %;0.17;100 %;–;–;6.34;61 %;0.6;29 %;0.09;0 %;1.97;70 %;0.09;100 %;2.31;1.3;0.17;9.9;0.86;1.2;15.86;70 %;13.11;70 %;2.74;72 %;6.26;70 %;0.51;83 %;–;–;3.17;84 %;7.89;5.83;14;0.94;0.26;0.26;73.11;61.89;85 %;33 %;0.09;0.09;–;0.05;0.1;–;0;1.62;1.47;0.15;0.21;0.13;35.83;0.17;–;3.86;0.17;–;1.37;0.09;11.14;9.17;1.97;4.37;0.43;–;2.66
Джимми Марин;Оренбург;215;90;АП П;0.43;0.18;1.66;0.55;33 %;1.35;0.55;0.92;–;–;0.06;–;0.98;3.7;1.66;0.5;27.65;77 %;2.2;45 %;3.56;26 %;3;78 %;0.43;86 %;–;–;0.67;100 %;6.56;61 %;8.15;0.31;1.4;0.86;0.55;2.7;12.26;32 %;3.19;25 %;9.7;34 %;1.47;17 %;4.11;45 %;3.7;46 %;1.47;42 %;1.4;2.76;25;0.98;0.74;0.55;50.46;33.35;66 %;54 %;0.8;0.55;0.06;0.46;0.16;1.18;0.85;1.89;1.49;0.4;0;0.01;21.34;0.92;0.92;2.33;0.37;–;0.67;3.99;3.92;0.8;3.13;0.25;1.84;1.41;0.61
Евгений Марков;Факел Воронеж;184;90;Ф ПЦ;–;0.18;0.54;–;0 %;0.18;2.72;3.8;–;–;0.18;0.18;0.36;1.9;0.36;0.12;22.64;64 %;–;–;0.18;0 %;5.25;66 %;0.18;100 %;–;–;1.99;73 %;2.35;62 %;13.4;0.54;1.27;1.27;0.72;0.18;30.97;40 %;5.79;41 %;25.17;40 %;15.57;41 %;2.17;42 %;1.9;17 %;1.63;56 %;2.35;2.9;9;0.91;0.54;0.72;61.21;32.41;53 %;33 %;0.36;0.36;–;0.22;0.11;–;0;0.83;1.37;-0.54;–;–;14.49;–;–;3.44;0.18;–;1.45;1.45;12.31;2.35;9.96;6.34;0.91;0.18;0.91
Кристофер Мартинс Перейра;Спартак Москва;233;90;П П;0.14;0.21;1.11;0.14;13 %;0.77;1.32;1.46;0.35;0.49;0.14;0.07;0.21;1.81;0.84;0.27;35.11;85 %;0.91;46 %;0.7;10 %;4.39;71 %;0.7;50 %;–;–;1.67;63 %;1.74;48 %;4.81;0.84;0.49;2.65;0.7;1.11;17.9;52 %;8.8;49 %;9.82;54 %;4.39;63 %;3.7;70 %;1.11;63 %;3.34;48 %;2.58;5.2;18;0.91;0.49;0.35;63.81;48.34;76 %;46 %;0.63;0.35;–;0.31;0.15;1.97;0.51;2.6;1.11;0.95;0.05;0.13;29.74;0.42;0.07;3.13;0.35;–;1.4;0.84;9.26;3.97;5.29;2.79;2.16;0.7;1.6
Даниил Мартовой;Сочи;–;90;АП ЛЦ;–;–;0;–;–;–;–;18;–;–;–;–;–;18;–;0.36;18;0 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;18;–;18;18;100 %;0;–;18;100 %;–;–;18;100 %;–;–;0;–;0;36;1;–;–;18;108;72;67 %;0 %;18;–;–;–;0.02;–;0;0.36;–;0.36;–;–;–;–;–;–;–;–;–;–;18;0;18;–;18;–;0
Павел Маслов;Спартак Москва;215;90;З ПЦ;0.11;0.21;0.32;0.11;33 %;0.43;0.85;0.21;0.21;0.53;0.21;–;–;0.32;0.21;0.03;53.94;89 %;0.21;100 %;0.32;67 %;10.64;71 %;3.72;69 %;0.32;100 %;5.64;62 %;1.6;60 %;3.19;1.28;0.32;6.7;1.28;2.2;11.7;62 %;8.94;60 %;2.77;69 %;3.62;62 %;0.43;100 %;0.11;100 %;2.2;79 %;5.43;7.13;19;0.64;0.32;1.38;80.85;70.11;87 %;67 %;0.11;–;–;0.07;0.09;0.26;3.85;1.89;1.2;0.88;0.03;0.05;48.09;0.21;0.21;7.55;2.55;0.32;3.51;0.96;7.23;5.32;1.91;2.23;0.43;0.11;1.6
Лукас Масоэро;Пари Нижний Новгород;191;90;З ПЦ;–;–;0.28;–;0 %;0.14;0.78;0.23;0.51;1.38;0.23;–;–;0.28;0.18;0.06;41.71;77 %;0.05;0 %;0.46;20 %;12.2;63 %;3.31;42 %;0.55;25 %;5.66;53 %;1.43;45 %;4.74;1.43;0.14;7.55;1.6;1.57;12.43;61 %;9.53;63 %;2.9;54 %;5.11;58 %;0.69;67 %;0.23;60 %;2.81;59 %;7.64;7.83;22;0.92;0.09;0.09;71.59;56.85;79 %;67 %;0.09;–;–;0.03;0.23;–;0;0.96;1.34;-0.38;0.07;0.07;32.09;–;0.09;7.69;1.38;0.14;2.99;0.64;7.55;5.98;1.57;2.95;0.46;0.14;1.66
Данил Массуренко;Химки;–;90;Ф Ц;–;–;–;–;–;–;6.92;–;–;–;6.92;–;–;–;–;–;6.92;0 %;–;–;–;–;6.92;0 %;6.92;0 %;–;–;–;–;–;–;27.69;–;–;6.92;–;–;20.77;0 %;–;–;20.77;0 %;6.92;0 %;–;–;–;–;–;–;–;6.92;1;–;–;6.92;34.62;6.92;20 %;–;–;–;–;–;–;–;–;0.21;6.44;-6.23;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Владислав Мастерной;Факел Воронеж;200;90;ЗП П;–;–;0;–;–;0.25;2.21;0.49;0.25;0.49;–;–;–;0.98;–;0.03;30;70 %;0.49;50 %;1.23;0 %;9.59;51 %;3.2;38 %;–;–;5.41;36 %;2.7;64 %;6.39;0.98;–;6.64;1.48;1.23;16.48;63 %;10.82;64 %;5.66;61 %;3.93;69 %;1.97;50 %;0.98;25 %;6.39;69 %;5.41;5.9;11;0.49;0.25;2.21;60;44.02;73 %;0 %;0.49;0.49;–;–;0.04;–;0;0.77;1.49;-0.72;–;–;21.15;0.25;–;4.92;1.23;–;1.97;1.72;10.33;6.89;3.44;2.7;0.98;0.25;4.43
Минкаил Мацуев;ФК Ахмат;–;90;Ф Ц;–;–;0;–;–;–;11.25;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;22.5;–;–;–;–;–;45;50 %;22.5;50 %;22.5;50 %;–;–;–;–;–;–;11.25;100 %;0;–;1;–;–;11.25;45;22.5;50 %;–;–;–;–;–;–;–;–;–;2.25;-2.25;–;–;–;–;–;–;–;–;–;–;22.5;11.25;11.25;–;–;–;11.25
Алекс Мацукатов;ФК Краснодар;–;90;П ПЦ;–;–;0;–;–;3.46;–;–;–;–;–;–;–;–;–;–;38.08;100 %;3.46;100 %;–;–;–;–;3.46;100 %;–;–;–;–;3.46;100 %;–;–;–;–;–;3.46;6.92;100 %;3.46;100 %;3.46;100 %;–;–;3.46;100 %;3.46;100 %;0;–;0;–;1;–;–;3.46;48.46;48.46;100 %;–;–;–;–;1.11;–;–;–;1.7;–;1.7;–;–;38.08;3.46;–;–;3.46;–;–;3.46;6.92;3.46;3.46;–;3.46;3.46;0
Максим Максимов;Факел Воронеж;184;90;Ф ПЦ;0.36;–;1.62;0.36;22 %;0.18;0.54;0.99;–;0.09;0.27;–;0.09;2.51;1.35;0.44;17.34;70 %;0.27;0 %;0.45;0 %;3.68;49 %;0.54;50 %;–;–;1.89;33 %;0.54;0 %;10.06;1.98;0.27;0.81;0.27;0.81;19.85;34 %;3.41;34 %;16.44;34 %;8.62;41 %;2.7;35 %;1.8;33 %;0.54;67 %;1.8;2.43;24;0.81;0.54;1.35;44.28;24.7;56 %;54 %;0.81;0.27;0.09;0.08;0.17;1.21;0.82;1.19;1.81;-0.62;0.01;0.14;12.22;–;–;1.8;0.27;–;0.63;–;6.83;1.17;5.66;3.5;0.72;0.36;0.36
Мамаду Майга;Пари Нижний Новгород;215;90;ЗП ЛЦ;0.05;–;0.1;0.05;50 %;0.05;1.56;1.26;0.15;0.4;0.4;0.05;–;0.5;0.2;0.02;44.67;87 %;0.1;50 %;0.25;0 %;8.78;71 %;1.26;64 %;0.2;100 %;4.24;71 %;1.11;23 %;4.14;1.72;0.71;6.31;2.27;1.62;17.72;59 %;11.61;53 %;6.11;69 %;3.58;49 %;2.52;74 %;0.76;87 %;5;61 %;7.27;6.92;22;1.6;0.3;0.05;79.4;65.11;82 %;40 %;0.15;0.15;–;0.03;0.04;0.37;2.7;1.9;1.1;-0.01;0.05;0.08;38.72;0.05;–;6.21;0.81;0.2;3.3;0.25;10.4;6.21;4.19;1.77;1.87;0.66;3.3
Хесус Медина;ЦСКА Москва;244;90;АП ПЦ;0.35;0.3;1.31;0.35;27 %;1.52;0.7;0.78;0.13;0.17;0.09;–;0.22;2.39;0.96;0.31;41.49;77 %;1.26;31 %;2.48;35 %;5.7;65 %;1.96;71 %;0.17;75 %;2.57;59 %;7.31;63 %;9.62;1.48;1.83;2;0.7;1.61;15.28;37 %;5.36;31 %;9.93;40 %;1.52;31 %;4.5;56 %;1.87;53 %;3.22;35 %;2.53;4.35;25;1.4;0.65;0.04;69.4;46.98;68 %;40 %;0.91;0.48;0.04;0.49;0.13;0.88;1.13;1.61;0.88;0.74;0;0.04;32;0.39;0.87;3.7;1.39;0.13;1.52;4.62;5.62;1.65;3.96;0.48;2.26;1;1.13
Виктор Мелехин;Ростов;210;90;З ПЦ;–;–;0.14;–;0 %;0.09;0.96;0.6;0.5;1.38;0.23;0.05;–;0.32;0.14;0.01;53.94;82 %;0.05;0 %;0.14;67 %;11.7;60 %;2.57;48 %;0.32;14 %;5.37;50 %;0.73;44 %;4.86;1.79;0.32;8.3;1.19;2.43;15.18;67 %;12.25;67 %;2.94;69 %;6.1;70 %;0.87;58 %;0.23;40 %;2.98;60 %;7.84;7.66;24;0.92;0.18;0.18;87.71;72.34;82 %;43 %;0.14;0.05;–;0.06;0.04;–;0;0.99;1.62;-0.63;0.14;0.1;44.04;–;0.09;7.2;1.24;0.05;2.71;0.32;10.23;8.21;2.2;4.27;0.5;0.09;1.79
Стефан Мелентьевич;Химки;189;90;З ПЦ;–;–;0.19;–;0 %;–;1.92;0.77;0.19;1.34;0.58;–;–;0.58;–;0.05;35.12;85 %;–;–;–;–;8.6;67 %;2.49;62 %;0.58;33 %;4.8;64 %;0.58;67 %;3.26;0.38;0.19;4.61;1.73;0.77;14.01;53 %;7.68;53 %;6.33;55 %;4.41;48 %;2.3;67 %;0.96;80 %;2.88;27 %;4.8;4.8;8;0.96;0.58;0.58;60.26;47.59;79 %;0 %;0.58;–;–;0.03;0.09;–;0;0.66;1.95;-1.29;0.06;0.15;29.74;–;–;5.37;1.54;0.19;3.7;0.38;7.48;4.3;3.45;2.11;1.54;0.77;0.77
Павел Мелешин;Спартак Москва;197;90;Ф ПЦ;0.75;0.75;2.25;0.75;33 %;2.25;1.5;–;–;–;0.75;–;–;4.5;1.5;0.77;19.5;65 %;1.5;50 %;1.5;50 %;3;50 %;–;–;–;–;0.75;100 %;1.5;50 %;10.5;1.5;0.75;0.75;–;–;18.75;24 %;4.5;33 %;14.25;21 %;5.25;14 %;3;50 %;1.5;0 %;3.75;40 %;3.75;2.25;8;–;–;6;48.75;24;49 %;33 %;2.25;0.75;–;0.51;0.17;1.2;0.98;1.91;0.27;1.64;–;–;12.75;0.75;0.75;1.5;–;–;0.75;0.75;4.5;1.5;3;0.75;1.5;–;1.5
Георгий Мелкадзе;Сочи;206;90;Ф Ц;0.28;0.06;1.57;0.28;18 %;1.1;1.63;0.9;–;–;0.45;0.06;0.73;2.52;1.51;0.41;22.54;76 %;0.95;47 %;0.62;18 %;3.36;60 %;0.45;50 %;0.06;100 %;1.46;62 %;1.85;61 %;9.81;1.46;0.95;1.29;0.62;2.24;21.2;35 %;4.37;31 %;16.82;36 %;6.6;24 %;3.76;60 %;2.36;57 %;1.35;50 %;2.2;2.69;24;1.1;0.73;0.34;54;32.75;61 %;60 %;0.67;0.34;–;0.23;0.16;1.47;0.68;1.51;1.32;0.19;0.01;0.05;17.05;0.45;0.11;2.2;0.22;0.06;0.9;1.12;7.4;1.35;6.6;1.46;2.24;1.35;0.67
Степан Мельников;Ростов;208;90;АП Л;0.38;–;0.38;0.38;100 %;0.38;0.38;1.15;–;0.38;–;–;0.77;1.15;0.38;0.04;16.85;70 %;–;–;3.6;13 %;2.3;50 %;–;–;–;–;1.53;100 %;3.45;33 %;6.89;1.15;1.15;0.77;0.77;0.77;16.85;45 %;3.45;33 %;13.4;49 %;5.36;50 %;4.21;55 %;1.91;80 %;1.91;20 %;2.68;2.3;10;0.38;0.77;3.45;41.74;25.66;61 %;33 %;0.38;0.38;–;0.07;0.03;0.1;10;0.92;1.31;-0.39;0.01;0.03;11.87;–;0.38;1.15;–;–;1.53;1.15;7.66;1.15;6.51;2.68;2.3;1.53;0.38
Андрей Мендель;Факел Воронеж;200;90;ЗП ПЦ;0.06;–;0.12;0.06;50 %;0.06;1.92;1.44;0.18;0.54;0.36;–;–;0.42;0.12;0.06;26.01;77 %;0.24;25 %;0.24;25 %;6.37;66 %;0.6;20 %;0.06;0 %;2.94;59 %;0.9;67 %;2.52;0.48;0.24;5.71;2.4;0.3;15.92;60 %;12.68;57 %;3.24;70 %;4.3;66 %;0.48;63 %;0.12;50 %;5.5;58 %;7.15;6.25;26;0.96;0.54;0.6;56.3;43.38;77 %;29 %;0.3;–;–;0.06;0.14;1.1;0.99;0.89;1.49;-0.59;0.08;0.06;20.07;0.06;0.06;4.21;0.12;–;1.74;0.6;9.49;7.21;2.28;2.64;0.3;0.06;2.94
Милсон;Пари Нижний Новгород;212;90;АП ЛЦ;0.19;0.19;1.2;0.19;18 %;1.12;1.68;4.38;0.09;0.19;0.37;–;0.28;1.4;0.47;0.14;25.16;76 %;1.12;58 %;1.4;7 %;3.63;79 %;0.37;100 %;–;–;1.2;82 %;2.89;65 %;8.94;1.12;1.49;1.86;1.49;3.91;23.29;40 %;6.52;34 %;16.77;42 %;3.17;6 %;8.48;64 %;4.94;62 %;3.35;36 %;2.52;4.84;16;0.65;0.56;0.84;62.61;40.06;64 %;33 %;0.37;0.47;0.09;0.23;0.1;0.74;1.34;0.96;1.51;-0.55;0.01;0.03;19.01;0.65;0.09;2.89;0.37;–;0.84;1.86;9.32;2.24;7.8;0.19;5.4;3.7;1.21
Мендес;ЦСКА Москва;223;90;ЗП ЛЦ;–;–;0;–;–;0.22;0.53;0.75;–;0.18;0.04;–;–;0.66;0.09;0.04;50.68;91 %;0.44;50 %;0.4;44 %;9.63;84 %;0.8;78 %;0.04;100 %;4.82;86 %;1.77;65 %;3.27;0.71;0.35;4.2;1.59;2.21;10.34;51 %;6.36;49 %;3.98;53 %;1.99;44 %;1.2;65 %;0.44;50 %;2.83;61 %;3.58;6.98;26;0.97;0.31;0.18;74.8;64.2;86 %;13 %;0.31;0.27;–;0.14;0.05;–;0;1.66;0.96;0.7;0;0.01;46.08;0.22;0.18;8.13;0.62;0.04;4.15;1.15;5.26;3.14;2.12;0.88;0.66;0.22;1.72
Артём Мещанинов;Сочи;213;90;З ЛЦ;–;–;0.21;–;0 %;0.07;0.63;0.91;0.42;1.5;0.21;0.07;–;0.28;0.14;0.03;43.7;87 %;0.07;0 %;0.14;50 %;9.46;72 %;2.45;74 %;0.21;67 %;4.34;71 %;0.28;75 %;2.24;0.91;0.14;6.58;0.91;1.82;13.17;67 %;10.93;66 %;2.24;72 %;5.6;66 %;0.49;86 %;0.14;100 %;2.66;63 %;5.46;4.55;17;0.91;–;0.28;69.2;58.55;85 %;50 %;0.14;–;–;0.01;0.12;–;0;1.63;1.35;0.28;0.04;0.06;37.82;–;0.07;6.79;1.82;0.14;3.8;0.21;8.82;7.21;1.61;3.71;0.42;0.14;1.68
Миха Мевля;Спартак Москва;207;90;З ПЦ;–;–;0;–;–;–;–;1.3;0.52;1.55;–;–;–;–;–;–;60.52;91 %;–;–;–;–;8.28;69 %;1.55;33 %;0.52;0 %;2.59;60 %;–;–;–;–;–;4.66;0.52;–;13.97;67 %;10.86;62 %;3.1;83 %;7.24;71 %;0.52;100 %;0.52;100 %;0.52;0 %;3.1;3.1;4;1.3;0.52;1.3;80.69;70.86;88 %;–;–;–;–;–;–;–;–;0.86;0.77;0.09;0.03;0.05;55.34;–;–;5.69;0.52;–;1.55;–;9.31;6.72;2.59;5.17;0.52;0.52;0
Ярослав Михайлов;Пари Нижний Новгород;202;90;ЗП ЛЦ;0.05;0.16;0.11;0.05;50 %;0.32;0.7;0.81;0.16;0.54;0.22;–;–;0.49;0.11;0.04;40.51;81 %;0.27;60 %;0.59;27 %;8.17;69 %;1.46;63 %;0.27;80 %;4.76;70 %;3.25;52 %;4.81;1.3;0.97;4.6;1.24;1.73;14.87;49 %;7.73;48 %;7.14;49 %;2.97;45 %;2.6;58 %;1.14;52 %;3.46;63 %;6.44;7.14;22;0.87;0.38;0.32;72.1;55.49;77 %;22 %;0.11;0.27;–;0.06;0.08;0.68;1.47;0.85;1.34;-0.49;0.04;0.04;32.88;0.16;0.16;5.62;0.92;0.22;3.35;1.68;7.25;3.73;3.52;1.35;1.51;0.59;2.16
Иван Миладинович;Сочи;203;90;З ПЦ;–;–;0;–;–;–;0.44;0.44;0.15;1.2;0.15;–;–;0.29;0.15;0.01;46.96;85 %;–;–;0.58;25 %;11.63;74 %;1.89;69 %;0.29;50 %;3.63;80 %;1.2;29 %;3.5;1.2;0.44;8;1.45;1.16;12.21;63 %;9.89;63 %;2.33;63 %;4.65;50 %;0.73;60 %;0.29;100 %;2.4;64 %;7.85;7.71;9;1.2;0.15;0.29;76.62;64.7;84 %;50 %;–;0.15;–;0.04;0.05;–;0;1.18;1.27;-0.09;0.11;0.1;40.13;–;0.15;8.58;1.31;0.15;2.91;0.29;7.71;6.25;1.45;2.33;0.44;0.29;1.31
Ан. Миранчук;Локомотив Москва;218;90;АП Ц;0.43;0.16;0.96;0.43;44 %;0.91;0.96;1.28;0.05;0.11;0.27;–;0.05;2.46;0.96;0.44;46.42;78 %;1.12;38 %;1.12;19 %;10.39;68 %;1.66;65 %;–;–;5.94;65 %;6.5;48 %;8.89;1.71;1.45;2.46;1.2;2.94;16.38;45 %;5.9;43 %;11.3;46 %;1.5;43 %;5.46;65 %;2.9;54 %;2.78;50 %;2.36;5.14;28;1.2;0.54;0.48;77.15;54.88;71 %;39 %;0.64;0.8;0.05;0.42;0.18;1.2;0.98;1.29;1.51;-0.21;0;0.02;36.14;0.43;0.21;7.1;1.7;–;3.85;2.89;7.33;2.2;5.14;0.64;3.53;1.12;1.39
Алексей Миронов;Ростов;221;90;П ПЦ;0.06;0.06;0.54;0.12;22 %;0.54;1.8;0.96;0.06;0.54;0.54;–;–;1.91;0.78;0.08;41.23;80 %;0.6;40 %;0.6;10 %;9.39;65 %;2.21;70 %;0.24;50 %;5.62;61 %;3.47;41 %;5.86;1.56;1.8;3.41;1.62;1.38;12.03;52 %;6.4;43 %;5.62;62 %;1.8;47 %;2.15;72 %;0.96;63 %;3.41;42 %;5.51;6.82;26;0.84;0.66;0.72;69.89;53.44;76 %;41 %;0.54;0.54;0.06;0.11;0.04;1.42;0.7;1.18;1.61;-0.43;0.04;0.06;32.79;0.24;0.06;6.1;1.56;0.12;3.41;1.44;6.22;2.75;3.47;0.84;1.56;0.6;1.44
Резиуан Мирзов;Химки;211;90;АП ЛЦ;0.26;0.07;0.79;0.26;33 %;0.53;0.33;2.17;0.07;0.13;0.26;–;0.46;2.4;0.79;0.28;30.07;78 %;0.79;17 %;0.92;29 %;3.29;70 %;0.2;67 %;–;–;1.25;79 %;2.7;66 %;7.76;0.99;0.59;0.79;0.46;5.59;16.32;39 %;3.9;34 %;13.22;40 %;2.37;25 %;7.17;50 %;5.66;52 %;1.45;45 %;0.86;3.62;24;0.79;0.46;0.79;59.08;40.79;69 %;39 %;0.46;0.72;0.07;0.23;0.14;1.7;0.93;0.96;2;-1.04;–;–;23.55;0.13;0.26;2.3;0.13;–;0.99;1.78;6.38;1.5;5.33;0.59;3.62;2.96;0.66
