№;Игрок;Позиция;Команда;МИН;Г;ГП;КП;КП+;КП%;УД;УД+;УД%;xG;Ф;ФП;ОФ;ЖК;КК;ТТД;ТТД+;ТТД%;ТШ;ГМ;ГМ+;ГМ%;ПОТ;ПТС;ВОЗ;ВЗС;НОМ;ПАС;ПАС+;ПАС%;ПСВ;ПСВ+;ПСВ%;ПCН;ПCН+;ПCН%;ДПС;ДПС+;ДПС%;КСП;КСП+;КСП%;ПФТ;ПФТ+;ПФТ%;ПСШ;ПСШ+;ПСШ%;НАВ;НАВ+;НАВ%;ППУ;ППУ+;ППУ%;ППС;ППШ;ЕД;ЕД+;ЕД%;ЕДВ;ЕДВ+;ЕДВ%;ЕДО;ЕДО+;ЕДО%;ЕДА;ЕДА+;ЕДА%;ОБВ;ОБВ+;ОБВ%;ОТБ;ОТБ+;ОТБ%;ПХ;ШТУ;ПШУ;ПШУ+;ПШУ%;УГЛ;АУТ;АУТ+;АУТ%
19;Евгений Осипов;ЛЦЗ;Шинник;1112;0.2;0;0;0;0 %;0.6;0.2;38 %;0.08;1.1;0.2;0;0.3;0;65.8;49.5;75 %;2.4;0.2;0.2;100 %;10.9;8.9;23.7;3;0.2;35.2;24.5;70 %;28.6;18.5;65 %;1;1;100 %;4.7;1.9;41 %;30.5;22.6;74 %;2.6;1.6;63 %;0.6;0.1;14 %;0.2;0;0 %;0;0;0 %;20.1;1.5;16;11.4;71 %;9;7;78 %;12.5;9.4;75 %;3.5;2;58 %;0.1;0.1;100 %;1.5;0.9;61 %;7.1;1.8;0;0;0 %;0;0;0;0 %
8;Евгений Песегов;ПЦП;Акрон;808;0;0.4;0.7;0.7;100 %;1.2;0.3;27 %;0.03;1.6;1.1;0;0.3;0;80.4;60.1;75 %;0.6;0.3;0;0 %;12.6;3.5;13.3;6.1;0.6;56.5;45;80 %;26.7;18.4;69 %;8.6;8.1;95 %;4.3;2.8;64 %;52.1;42.2;81 %;20.9;16.3;78 %;11.7;6.1;52 %;1.3;0.2;17 %;2.2;2.2;100 %;41.5;0.2;12.1;4.8;39 %;3.1;1.2;39 %;5.8;2.5;42 %;6.3;2.3;37 %;1.2;0.7;55 %;2.8;0.9;32 %;2.7;3.7;0.3;0;0 %;5.5;0.7;0.7;100 %
9;Евгений Песиков;ЛВ;Велес Москва;684;0.1;0.3;1.2;1.2;100 %;2.2;0.7;29 %;0.17;0.9;1.2;0.1;0.4;0;65;44.2;68 %;4.5;0.7;0.1;20 %;12.9;3.8;12.1;4.5;1.6;35.3;25.7;73 %;15.3;8.8;58 %;10.3;10;97 %;1.4;0.7;45 %;33.8;25;74 %;13.2;9.2;70 %;4.1;2;48 %;0.7;0;0 %;0.7;0.7;100 %;35.3;1.8;15.5;7.2;47 %;2.5;0.8;32 %;5.8;3.2;55 %;9.7;4.1;42 %;4.3;2.6;61 %;2.8;1.7;62 %;3.7;1.2;0.1;0;0 %;1.2;0.5;0.5;100 %
32;Евгений Помазан;ВРТ;СКА Хабаровск;191;0;0;0;0;0 %;0;0;0 %;0.00;0;0;0;0;0;46.2;43.4;94 %;0;0;0;0 %;2.8;2.8;6.6;0;0.5;39.1;36.8;94 %;29.2;26.9;92 %;0;0;0 %;6.1;4.2;69 %;33;32.5;99 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;26.4;0;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;5.7;0.5;0;0;0 %;0;0;0;0 %
99;Евгений Ставер;ВРТ;Енисей;1259;0;0;0;0;0 %;0;0;0 %;0.00;0;0.1;0;0;0;40.7;35;86 %;0;0;0;0 %;5.3;5.3;6.1;0;0;34.2;28.9;85 %;25.8;20.7;80 %;0;0;0 %;11.8;7.6;65 %;22.4;21.2;95 %;0.1;0.1;100 %;0.1;0.1;100 %;0;0;0 %;0;0;0 %;20.5;0.1;0.3;0.2;75 %;0.1;0.1;100 %;0.3;0.2;75 %;0;0;0 %;0.1;0.1;100 %;0;0;0 %;6.4;1.6;0;0;0 %;0;0;0;0 %
4;Евгений Стешин;ЛЦЗ;Шинник;152;0;0;0;0;0 %;0.6;0.6;100 %;0.00;0;0.6;0;0;0;70.5;54.5;77 %;0.6;0;0;0 %;11.2;9.5;21.3;3;0;43.2;32;74 %;32;20.7;65 %;3;3;100 %;2.4;1.2;50 %;40.9;30.8;75 %;1.2;1.2;100 %;0.6;0.6;100 %;0;0;0 %;0;0;0 %;26.6;0.6;16.6;13;79 %;7.7;5.9;77 %;14.2;10.7;75 %;2.4;2.4;100 %;0;0;0 %;2.4;1.8;75 %;4.1;2.4;0;0;0 %;0;0;0;0 %
20;Евгений Черкес;ЛОП;Нефтехимик;31;0;0;0;0;0 %;0;0;0 %;0.00;0;5.8;0;0;0;52.3;43.5;83 %;2.9;0;0;0 %;2.9;2.9;20.3;8.7;0;23.2;20.3;88 %;17.4;14.5;83 %;2.9;2.9;100 %;0;0;0 %;23.2;20.3;88 %;8.7;8.7;100 %;0;0;0 %;0;0;0 %;0;0;0 %;17.4;0;14.5;8.7;60 %;2.9;2.9;100 %;11.6;5.8;50 %;2.9;2.9;100 %;0;0;0 %;5.8;0;0 %;5.8;0;0;0;0 %;0;0;0;0 %
86;Егор Апушников;ЦФД;Енисей 2;340;0;0;0.3;0.3;100 %;0.8;0.5;67 %;0.06;1.3;0.3;0.8;0;0;31;19.3;62 %;2.1;0.5;0;0 %;3.2;1.6;5.6;3.7;0.5;13;10.9;84 %;4.8;3.4;72 %;2.4;1.6;67 %;0;0;0 %;13;10.9;84 %;3.7;3.4;93 %;1.6;1.6;100 %;0;0;0 %;1.3;1.3;100 %;22;1.1;12.7;3.7;29 %;5.8;1.1;18 %;4.5;0.5;12 %;8.2;3.2;39 %;1.1;0.5;50 %;0.8;0.8;100 %;1.6;0;0;0;0 %;0;0;0;0 %
35;Егор Данилкин;ЛЦЗ;Волга Ульяновск;835;0;0;0;0;0 %;0.1;0;0 %;0.01;1.2;0.5;0;0.2;0;72.9;58.9;81 %;0.6;0;0;0 %;8.3;7;18.9;2.8;0.1;45.6;37.6;83 %;30.8;23.4;76 %;2;1.9;95 %;4;2.7;68 %;41.6;34.9;84 %;5.2;4.3;83 %;0.5;0.4;80 %;0;0;0 %;0.1;0;0 %;31.6;0.6;15;9.7;65 %;6.3;3.9;62 %;12.2;7.8;64 %;2.8;1.9;69 %;0.4;0.2;50 %;2.2;1.5;70 %;5.8;1.4;0;0;0 %;0;0.3;0.3;100 %
21;Егор Иванов;ЛП;Енисей;1178;0;0.2;0.5;0.5;100 %;0.9;0.1;8 %;0.02;1.1;1.7;0.1;0.5;0;81.8;65.3;80 %;2.1;0;0;0 %;10.8;3.8;15.1;7.4;0.7;57.5;47.8;83 %;31.4;24.1;77 %;8.6;8.4;98 %;2;1.1;58 %;55.5;46.7;84 %;20.9;16.7;80 %;8.2;4.9;60 %;0.5;0.1;14 %;1.4;1.3;94 %;47.4;1;10.8;5.3;50 %;1.6;0.5;29 %;6;3.1;53 %;4.8;2.2;46 %;0.8;0.3;40 %;3.1;1.8;59 %;3.5;1;0;0;0 %;2.6;0.1;0.1;100 %
2;Егор Тесленко;ЛЦЗ;Рубин Казань;1172;0.1;0.2;0.2;0.2;100 %;0.8;0.2;30 %;0.09;1.2;0.5;0;0.2;0;65.5;52.3;80 %;3.9;0.3;0.1;25 %;6.9;4.9;19;5.1;0;38.3;31.6;83 %;25.3;19.2;76 %;2.5;2.5;97 %;0.8;0.4;45 %;37.5;31.3;83 %;6.6;5.4;81 %;0.2;0.2;100 %;0.1;0.1;100 %;0.4;0.4;100 %;26.2;2.5;15.2;9.4;62 %;7.6;4.5;60 %;8.8;5.9;68 %;6.5;3.5;54 %;0.5;0.3;57 %;2.2;1.2;52 %;5.1;0.8;0;0;0 %;0;1.2;0.7;60 %
50;Егор Шамов;ВРТ;Арсенал Тула;476;0;0;0;0;0 %;0;0;0 %;0.00;0;0;0;0;0;45.4;38.4;85 %;0;0;0;0 %;6.6;6.6;5.9;0;0;38.8;32.1;83 %;31.8;25.3;80 %;0;0;0 %;13.4;8.7;65 %;25.3;23.4;93 %;0;0;0 %;0;0;0 %;0;0;0 %;0.2;0;0 %;22.5;0;0.6;0.2;33 %;0;0;0 %;0.6;0.2;33 %;0;0;0 %;0.2;0.2;100 %;0.2;0;0 %;3.4;0.6;0;0;0 %;0;0;0;0 %
22;Залимхан Юсупов;ЛОП;Динамо Махачкала;1187;0.2;0.1;0.6;0.6;100 %;1.4;0.5;32 %;0.11;1.6;1.7;0;0.2;0;80.4;60.4;75 %;1.9;0.2;0.2;67 %;12;3.9;18.7;10.2;0.5;50;38.9;78 %;21.3;13.3;62 %;8.7;8.6;98 %;3.5;1.7;50 %;46.6;37.2;80 %;17.2;13.4;78 %;7.7;3.9;50 %;0.8;0.1;10 %;1.2;1.2;100 %;36.2;0.5;14.9;7.3;49 %;3.4;1.8;53 %;6.9;3.7;54 %;8;3.6;45 %;1.4;1.1;78 %;4.2;2;48 %;3.7;3.1;0.3;0.1;25 %;3;0.1;0.1;100 %
93;Заур Тарба;ПЦП;Алания;513;0.2;0.2;0;0;0 %;1.2;0.2;14 %;0.08;2.1;1.8;0;0.2;0.2;57.7;42.1;73 %;1.4;0.4;0.2;50 %;7.9;1.4;16.8;9.6;1.1;27.9;21.4;77 %;15.4;10.2;66 %;5.1;4.9;97 %;1.2;0.2;14 %;26.7;21.2;80 %;8.8;6.1;70 %;2.5;1.1;43 %;0.4;0;0 %;0.7;0.7;100 %;20;0.4;14.6;7;48 %;3.3;1.6;47 %;6.1;3.2;51 %;8.4;3.9;46 %;2.1;1.8;83 %;3.7;2.5;67 %;5.4;0.5;0.2;0;0 %;0.4;0.9;0.9;100 %
37;Заурбек Плиев;ЛЦЗ;Родина Москва;1242;0.1;0;0;0;0 %;0.4;0.1;20 %;0.03;0.8;0.7;0;0.1;0;71.7;61.5;86 %;1.2;0.1;0.1;50 %;5.6;4.1;17.8;2.5;0.3;46.6;41.6;89 %;28.8;24.3;85 %;2.5;2.4;97 %;5.3;3.4;64 %;41.3;38.2;92 %;3.9;3;76 %;0.2;0.2;100 %;0;0;0 %;0.3;0.2;75 %;32.3;0.9;11.9;7.9;66 %;3.3;2.2;67 %;9.3;6.6;71 %;2.6;1.3;50 %;1.2;0.9;76 %;2.4;1.3;55 %;5.7;1.7;0;0;0 %;0;0.1;0.1;100 %
88;Захар Тарасенко;ЦФД;КамАЗ;181;0;0;0;0;0 %;1.5;1;67 %;0.19;2.5;1.5;1;1;0;53.7;31.8;59 %;5;1;0;0 %;8.5;2;9.9;7;1;25.9;19.4;75 %;7.5;5.5;73 %;8.5;6;71 %;0.5;0.5;100 %;25.4;18.9;75 %;10.4;7;67 %;0;0;0 %;0;0;0 %;0;0;0 %;37.3;3.5;21.4;7.5;35 %;12.4;4;32 %;8.5;2;24 %;12.9;5.5;42 %;2;1;50 %;1.5;1;67 %;1;0;0;0;0 %;0;0;0;0 %
28;Иван Козлов;ПЦП;Арсенал Тула;295;0.3;0;0;0;0 %;0.6;0.3;50 %;0.12;2.4;0.3;0;0.6;0;71.7;54;75 %;2.4;0.3;0.3;100 %;7;2.4;13.7;7.9;1.2;43;38.4;89 %;22.3;18.6;84 %;8.8;8.8;100 %;0.9;0.6;67 %;42.1;37.8;90 %;18.6;17.4;93 %;0.6;0.3;50 %;0.3;0.3;100 %;1.2;1.2;100 %;39.4;0.9;14.6;4.3;29 %;3.7;0.9;25 %;7.3;2.7;38 %;7.3;1.5;21 %;2.7;1.5;56 %;4;0.6;15 %;6.4;0.6;0;0;0 %;0;0;0;0 %
14;Иван Котельников;ПП;Велес Москва;102;0;0;0.9;0.9;100 %;0;0;0 %;0.00;0;1.8;0;0;0;59.1;37.9;64 %;0;0;0;0 %;12.4;5.3;17.6;7.9;1.8;29.1;18.5;64 %;20.3;10.6;52 %;4.4;4.4;100 %;0;0;0 %;29.1;18.5;64 %;11.5;6.2;54 %;2.6;1.8;67 %;0;0;0 %;0.9;0;0 %;22.1;0;17.6;8.8;50 %;5.3;2.6;50 %;11.5;5.3;46 %;6.2;3.5;57 %;0.9;0.9;100 %;0.9;0;0 %;3.5;0;0;0;0 %;0;0.9;0.9;100 %
81;Иван Кукушкин;ВРТ;Уфа;98;0;0;0;0;0 %;0;0;0 %;0.00;0;0;0;0;0;29.4;22;75 %;0;0;0;0 %;6.4;6.4;3.7;0;0;24.8;18.4;74 %;19.3;12.9;67 %;0;0;0 %;13.8;7.3;53 %;11;11;100 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;9.2;0;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;4.6;1.8;0;0;0 %;0;0;0;0 %
21;Иван Остоич;ПЦЗ;Балтика;159;0;0;0;0;0 %;0;0;0 %;0.00;1.1;1.1;0;0;0;66.8;54.9;82 %;2.3;0.6;0;0 %;7.9;5.1;24.9;4;0;34.5;27.7;80 %;27.7;21.5;78 %;2.8;2.8;100 %;0.6;0.6;100 %;34;27.2;80 %;0.6;0;0 %;1.1;0;0 %;1.1;0;0 %;0.6;0;0 %;16.4;1.7;17.5;13;74 %;9.6;7.4;76 %;14.2;12.5;88 %;3.4;0.6;17 %;1.1;0;0 %;2.3;2.3;100 %;5.7;0.6;0;0;0 %;0;1.7;1.7;100 %
4;Иван Рогач;ПЦЗ;Акрон;78;0;0;0;0;0 %;0;0;0 %;0.00;1.2;3.5;0;1.2;0;88.8;69.2;78 %;2.3;0;0;0 %;10.4;8.1;34.6;5.8;0;42.7;33.5;78 %;31.2;23.1;74 %;4.6;4.6;100 %;5.8;3.5;60 %;36.9;30;81 %;1.2;1.2;100 %;0;0;0 %;0;0;0 %;0;0;0 %;23.1;1.2;26.5;16.2;61 %;10.4;8.1;78 %;20.8;13.8;67 %;5.8;2.3;40 %;1.2;0;0 %;5.8;2.3;40 %;9.2;3.5;0;0;0 %;0;0;0;0 %
24;Иван Савицкий;ЛЗ;Енисей;460;0;0.2;0.4;0.4;100 %;0.2;0;0 %;0.00;0.8;2.2;0.2;0.2;0;73.2;56;76 %;1.8;0;0;0 %;12.3;6.1;16.4;5.5;0.8;46.4;35.8;77 %;19.2;11;57 %;11.9;11.5;97 %;4.1;1.6;38 %;42.3;34.2;81 %;15.8;13.1;83 %;2.2;1;45 %;1.8;0;0 %;0.4;0.4;100 %;33.3;0.8;14.3;8.8;62 %;1.8;1.2;67 %;9.2;5.9;64 %;5.1;2.9;58 %;1.8;0.8;44 %;3.3;2.3;71 %;5.5;0.4;0;0;0 %;0;9.2;8.8;96 %
10;Иван Темников;ПВ;Уфа;784;0;0.1;0.3;0.3;100 %;2.1;0.5;22 %;0.15;2.6;0.8;0.3;0.2;0;70.5;48.1;68 %;4.4;0.9;0;0 %;14;2.8;10.8;5.5;1.3;42.5;31.3;74 %;21.1;13.5;64 %;8.7;8.4;96 %;3;1.8;62 %;39.5;29.5;75 %;15.2;11;73 %;7.8;3.6;46 %;4.1;0.3;8 %;0.8;0.8;100 %;38.6;1.8;16.2;7.5;46 %;4.1;2.1;50 %;6;3;50 %;10.2;4.5;44 %;4.2;2.6;62 %;2.3;1.3;55 %;2.6;1.5;0.2;0;0 %;1.3;2.9;2.8;96 %
99;Иван Тимошенко;ЛФД;Родина Москва;1083;0.8;0.1;0.2;0.2;100 %;2;1.2;63 %;0.49;1.2;1.4;0.6;0.2;0;46.6;25.8;55 %;8.9;1.7;0.8;48 %;8.4;1.5;11;7.6;1.6;18.2;12.5;69 %;8.7;5;57 %;3.8;3.2;85 %;0;0;0 %;18.2;12.5;69 %;7.6;5.4;71 %;0.2;0.1;50 %;0;0;0 %;0.8;0.8;100 %;30.8;5.8;21.9;8.8;40 %;9.1;4;44 %;5;2.7;55 %;17;6.1;36 %;1.7;0.6;33 %;1.4;0.7;47 %;1.2;0;0;0;0 %;0;0;0;0 %
22;Иван Хомуха;ЛЦЗ;Волгарь Астрахань;1039;0.1;0;0;0;0 %;0.5;0.1;17 %;0.14;1.2;0.3;0.1;0.1;0;78.4;60.7;77 %;1.6;0.3;0.1;25 %;11.1;8.3;21.2;2.3;0.3;48.1;37.2;77 %;34.2;24.3;71 %;2.6;2.6;100 %;2.3;1.5;63 %;45.7;35.8;78 %;6.9;5.8;84 %;2.1;1.3;63 %;0.2;0;0 %;0.2;0.2;100 %;25.4;0.9;14.2;9.4;66 %;7.2;4.9;69 %;11;7.9;72 %;3.2;1.5;46 %;0.1;0.1;100 %;2.3;1.6;70 %;8.1;0.9;0;0;0 %;0;7.9;5.5;69 %
27;Иван Чудин;ЦОП;Акрон;1396;0;0;0;0;0 %;0.8;0;0 %;0.07;1.6;0.5;0;0.1;0;69.4;56.3;81 %;1.9;0.3;0;0 %;6.4;3.7;17;5.5;0.3;41.8;35.9;86 %;20.1;15.5;77 %;6.2;5.9;96 %;1.4;1;68 %;40.4;34.9;86 %;8.3;7.2;87 %;1.2;0.7;58 %;0.3;0.1;25 %;0.6;0.5;78 %;32.2;0.8;13.5;7.3;54 %;5.1;3;58 %;9.2;5.1;56 %;4.4;2.3;51 %;0.8;0.6;77 %;3;1.7;57 %;5.9;1.2;0;0;0 %;0;0.1;0;0 %
70;Игорь Андреев;ПП;Родина Москва;470;0.4;0.4;0.2;0.2;100 %;1.7;0.6;33 %;0.30;1.3;1.3;0.2;0.4;0;52.5;30.6;58 %;7.3;1.1;0.4;33 %;8.8;1.3;10.7;5.9;1.5;22.6;16.7;74 %;10.5;7.3;69 %;5.6;5.2;93 %;0.2;0.2;100 %;22.4;16.5;74 %;8.8;5.9;67 %;2.9;1.5;53 %;1.3;0.6;43 %;0.4;0.4;100 %;31.8;4.4;20.3;7.3;36 %;5.9;2.3;39 %;5.4;2.1;39 %;14.9;5.2;35 %;3.1;1.7;56 %;2.3;0.6;25 %;1.9;0;0;0;0 %;0;0;0;0 %
23;Игорь Безденежных;ЛОП;Кубань Краснодар;438;0;0;0.2;0.2;100 %;0.8;0;0 %;0.12;2.1;1;0;0.2;0;72.1;52;72 %;1;0.2;0;0 %;11.3;7;20.1;6;0.2;40.3;29.6;73 %;26.9;17.1;63 %;4.7;4.5;96 %;3.1;1.4;47 %;37.2;28.2;76 %;9.7;7.2;74 %;2.5;1.4;58 %;0.4;0;0 %;0.6;0.4;67 %;27.5;0.6;14.2;5.8;41 %;5.3;2.1;38 %;9.9;3.7;38 %;4.3;2.1;48 %;0.6;0.2;33 %;3.7;1.6;44 %;7.4;0.6;0;0;0 %;0;0.4;0.4;100 %
11;Игорь Горбунов;ЛЦП;Рубин Казань;429;0;0.4;0;0;0 %;0.8;0.6;75 %;0.03;1.9;1.5;0.4;0;0.2;70.1;47.4;68 %;4;0.4;0;0 %;10.1;2.1;14.1;8.8;0.6;36.7;29.2;79 %;13.6;9;66 %;7.1;6.9;97 %;0.8;0.6;75 %;35.9;28.5;80 %;13.2;10.3;78 %;4.4;1.7;38 %;1.3;0;0 %;1.3;1.3;100 %;38.8;1.7;22.7;8.2;36 %;4.6;1.3;27 %;9.9;3.4;34 %;12.8;4.8;38 %;3.6;1.7;47 %;4.6;2.1;45 %;2.9;0.2;0;0;0 %;1.5;0;0;0 %
52;Игорь Леонтьев;ЛОП;Шинник;681;0;0;0;0;0 %;0.5;0;0 %;0.03;1.6;0.9;0;0.3;0;66.2;50.2;76 %;0.3;0;0;0 %;7.7;3.4;20.9;7.7;0.4;35.7;28.5;80 %;20;13.6;68 %;5;4.9;97 %;0.7;0.5;80 %;35;28;80 %;9.6;7.4;77 %;1.1;0.3;25 %;0.4;0.1;33 %;0.3;0.3;100 %;22.5;0.3;12.6;5.2;41 %;4.1;1.9;45 %;6.7;3;45 %;5.8;2.1;36 %;0.3;0.1;50 %;2.9;0.7;23 %;8.5;0.5;0;0;0 %;0;0.1;0.1;100 %
96;Игорь Обухов;ВРТ;Нефтехимик;375;0;0;0;0;0 %;0;0;0 %;0.00;0;0;0;0;0;26.9;21.4;79 %;0;0;0;0 %;5.3;5.3;5;0;0;21.6;16.3;76 %;21.1;15.8;75 %;0;0;0 %;17.5;13.2;75 %;4.1;3.1;76 %;0;0;0 %;0;0;0 %;0;0;0 %;0;0;0 %;5.3;0;0.2;0.2;100 %;0.2;0.2;100 %;0.2;0.2;100 %;0;0;0 %;0;0;0 %;0;0;0 %;3.8;2.2;0;0;0 %;0;0;0;0 %
7;Игорь Соколов;ПВ;Шинник;974;0.2;0;0.2;0.2;100 %;1.4;0.6;47 %;0.14;0.6;0.6;0.1;0;0;53.7;33.5;62 %;3.7;0.7;0.2;25 %;11.5;2.5;10.6;5.6;1.7;27.3;19.3;71 %;11.6;6.9;60 %;5.8;4.9;84 %;0.5;0.3;60 %;26.8;19;71 %;9;6.4;71 %;2.7;1;38 %;1.2;0;0 %;0.9;0.9;100 %;28.4;1.6;14.1;4.2;29 %;2.6;0.7;29 %;3.7;1.3;35 %;10.4;2.9;27 %;3.1;1.3;41 %;1.6;0.2;12 %;2.5;0;0;0;0 %;0;0.5;0.5;100 %
7;Игорь Школик;ЦАП;Нефтехимик;115;0.8;0;0;0;0 %;7;3.1;44 %;0.59;1.6;0.8;0;0;0;72.8;47.7;66 %;3.9;2.3;0.8;33 %;12.5;5.5;19.6;10.2;1.6;32.1;21.9;68 %;14.9;8.6;58 %;8.6;7.8;91 %;1.6;0.8;50 %;30.5;21.1;69 %;7;5.5;78 %;3.1;1.6;50 %;0.8;0;0 %;1.6;0.8;50 %;30.5;0.8;16.4;5.5;33 %;3.9;0.8;20 %;4.7;0.8;17 %;11.7;4.7;40 %;2.3;1.6;67 %;3.1;1.6;50 %;3.1;0;0;0;0 %;0;0;0;0 %
4;Идар Шумахов;ЛЦЗ;Динамо Махачкала;1291;0.1;0;0;0;0 %;0.6;0.1;22 %;0.08;0.6;0.9;0;0;0;76.9;62.8;82 %;2.2;0.3;0.1;20 %;9.3;7.3;24.8;4.6;0.1;44.3;35.2;80 %;31.7;23;73 %;3.9;3.8;98 %;2.4;1.2;49 %;41.8;34;81 %;6.3;5.4;86 %;1.2;0.6;53 %;0.3;0.1;25 %;0.2;0.2;100 %;28;1.3;14.6;10.2;70 %;6.6;4.4;67 %;10.9;7.9;72 %;3.7;2.4;64 %;0.6;0.4;75 %;2.7;2.2;82 %;7.2;1.5;0;0;0 %;0;1;0.8;80 %
29;Ильнур Бадртдинов;ПЗ;КамАЗ;319;0.3;0;0;0;0 %;0.3;0.3;100 %;0.03;2;0.6;0;0.6;0;69.1;53.6;78 %;3.4;0.6;0.3;50 %;9.6;3.7;15.8;6.2;0.3;41.8;34.1;82 %;22.3;16.4;73 %;7.6;6.8;89 %;0.6;0.6;100 %;41.2;33.6;82 %;15.5;12.1;78 %;1.4;0.6;40 %;0.6;0;0 %;0;0;0 %;30.8;0.8;16.1;8.5;53 %;1.1;0.8;75 %;5.9;4.2;71 %;10.2;4.2;42 %;2.8;1.1;40 %;3.7;2.5;69 %;5.1;0.6;0;0;0 %;0;9.3;7.6;82 %
36;Илья Грузнов;ЦФД;Шинник;582;0.3;0.2;0.3;0.3;100 %;2.9;1.1;37 %;0.71;1.1;0.9;0.9;0.2;0;50.3;26.8;53 %;7.9;2;0.3;15 %;10.2;2.2;13;10.4;1.2;20.4;11.8;58 %;8.5;2.6;31 %;5.7;5.1;89 %;0.3;0;0 %;20.1;11.8;58 %;9.1;5.6;61 %;2;0.8;38 %;0;0;0 %;0.6;0.6;100 %;31.7;4.2;21.5;9.1;42 %;9.1;4.3;47 %;4.9;1.7;34 %;16.5;7.4;45 %;0.6;0.3;50 %;0.9;0.2;17 %;1.7;0;0;0;0 %;0;0.2;0.2;100 %
58;Илья Зуев;ПЦЗ;Акрон;1067;0;0;0;0;0 %;0.4;0.3;60 %;0.04;0.7;0.9;0;0.3;0;91.3;77.3;85 %;1.5;0.3;0;0 %;9.4;7.1;22.9;4.6;0.3;58.9;49.9;85 %;34.2;25.6;75 %;5.1;4.7;93 %;5.9;2.8;47 %;53;47.2;89 %;4.9;4.1;84 %;0.4;0.1;20 %;0.1;0;0 %;0.3;0.2;67 %;42.4;0.8;14.7;11.1;76 %;8.4;6.7;80 %;11.5;8.6;75 %;3.2;2.5;79 %;0.3;0.2;50 %;1.6;1.3;84 %;6.7;1.2;0;0;0 %;0;0.2;0.2;100 %
26;Илья Камышев;ЛОП;Родина Москва;353;0;0;0;0;0 %;0.5;0;0 %;0.05;1;0;0;0;0.3;56.3;43.9;78 %;1;0.5;0;0 %;5.9;3.1;12.2;5.6;0;34.4;29.3;85 %;11.7;8.2;70 %;8.2;7.9;97 %;2;0.8;38 %;32.4;28.6;88 %;8.4;7.6;91 %;0.8;0.3;33 %;0;0;0 %;0.5;0.5;100 %;26.8;0.8;14.3;7.6;54 %;2.8;1;36 %;7.6;4.1;53 %;6.6;3.6;54 %;2;1.3;63 %;3.1;2;67 %;2.3;0.3;0;0;0 %;0;0;0;0 %
27;Илья Кубышкин;ПОП;Волга Ульяновск;593;0.2;0;0.2;0.2;100 %;1.5;0.5;30 %;0.08;1.8;1.4;0.2;0.6;0;78.8;59.9;76 %;0.6;0.2;0.2;100 %;11.5;5.8;22;9.1;0.3;45.7;35.2;77 %;23.7;15.8;67 %;7.7;7.4;96 %;4.9;3.3;69 %;40.8;31.9;78 %;14;10.8;77 %;4.6;2.4;53 %;0.5;0;0 %;1.1;0.8;71 %;31.4;0.2;16.7;9.6;57 %;5.5;3.5;64 %;10;5.5;55 %;6.7;4.1;61 %;1.5;0.8;50 %;3.8;1.8;48 %;4.7;1.4;0.2;0;0 %;2.3;0;0;0 %
19;Илья Кулешин;ЛЗ;Арсенал Тула;134;0;0;0;0;0 %;1.3;0;0 %;0.03;2;0.7;0;0.7;0;69.2;44.3;64 %;1.3;0;0;0 %;12.1;5.4;10.7;2.7;0;39.6;30.9;78 %;23.5;16.1;69 %;8.1;8.1;100 %;0;0;0 %;39.6;30.9;78 %;10.7;8.1;75 %;0.7;0;0 %;0.7;0;0 %;0.7;0.7;100 %;29.6;0;20.1;8.1;40 %;4;1.3;33 %;13.4;6.7;50 %;6.7;1.3;20 %;4.7;1.3;29 %;6.7;2;30 %;3.4;0.7;0;0;0 %;0;8.7;8.1;92 %
4;Илья Максименков;ЛЦЗ;Волга Ульяновск;206;0;0;0;0;0 %;0;0;0 %;0.00;1.3;0.4;0;0.9;0;88.7;75.1;85 %;0;0;0;0 %;7.4;5.2;19.7;3.1;0;55.5;48.1;87 %;35.4;28;79 %;3.1;3.1;100 %;2.2;0.9;40 %;53.3;47.2;89 %;12.7;11.8;93 %;0;0;0 %;0;0;0 %;0;0;0 %;38.9;0;16.6;11.8;71 %;7.9;4.8;61 %;14;10;72 %;2.6;1.7;67 %;0;0;0 %;4.4;3.5;80 %;3.5;1.3;0;0;0 %;0;0.4;0.4;100 %
28;Илья Молтенинов;ПФД;Уфа;245;0.7;0;0;0;0 %;1.8;1.1;60 %;0.21;2.9;2.2;0;0.7;0;59.1;27.2;46 %;9.6;1.5;0.7;50 %;9.2;2.2;12.9;7.7;1.5;18.4;11.4;62 %;9.9;5.1;52 %;3.3;2.6;78 %;0;0;0 %;18.4;11.4;62 %;5.5;2.9;53 %;1.8;0.4;20 %;0.7;0;0 %;0;0;0 %;41.1;4.4;35.3;12.5;35 %;24.2;8.4;35 %;5.5;4.4;80 %;29.8;8.1;27 %;2.2;1.5;67 %;1.5;0.7;50 %;0.7;0;0;0;0 %;0;0;0;0 %
